教育招生考试院上面给的招生信息/选考信息网址,,三种编号也不知道是啥,,,所在地区,,,办学层次,,找不到名称的话这边有2020年和2024年招生用的学校名,
学校名称,学校招生信息网址,学校标识码,学校编号,院校代码,主管部门,所在省份,所在地市,办学层次,办学方式(民办等),院校名称2024,院校名称2020
北京大学,https://www.pku.edu.cn/,4111010001,10001,A001,教育部,北京,北京市,本科,,北京大学,北京大学
中国人民大学,https://rdzs.ruc.edu.cn/,4111010002,10002,A002,教育部,北京,北京市,本科,,中国人民大学,中国人民大学
清华大学,http://www.join-tsinghua.edu.cn,4111010003,10003,A003,教育部,北京,北京市,本科,,清华大学,清华大学
北京交通大学,http://zsw.bjtu.edu.cn/,4111010004,10004,A004,教育部,北京,北京市,本科,,北京交通大学,北京交通大学
北京工业大学,http://admissions.bjut.edu.cn/,4111010005,10005,A005,北京市,北京,北京市,本科,,北京工业大学,北京工业大学
北京航空航天大学,http://zs.buaa.edu.cn,4111010006,10006,A006,工业和信息化部,北京,北京市,本科,,北京航空航天大学,北京航空航天大学
北京理工大学,admission@bit.edu.cn,4111010007,10007,A007,工业和信息化部,北京,北京市,本科,,北京理工大学,北京理工大学
北京科技大学,https://zhaosheng.ustb.edu.cn/,4111010008,10008,A008,教育部,北京,北京市,本科,,北京科技大学,北京科技大学
北方工业大学,bkzs.ncut.edu.cn,4111010009,10009,A009,北京市,北京,北京市,本科,,北方工业大学,北方工业大学
北京化工大学,http://www.goto.buct.edu.cn,4111010010,10010,A010,教育部,北京,北京市,本科,,北京化工大学,北京化工大学
北京工商大学,https://zsb.btbu.edu.cn/zszc/zszc/index.htm,4111010011,10011,A011,北京市,北京,北京市,本科,,北京工商大学,北京工商大学
北京服装学院,https://bksz.bift.edu.cn/,4111010012,10012,A012,北京市,北京,北京市,本科,,北京服装学院,北京服装学院
北京邮电大学,https://zsb.bupt.edu.cn,4111010013,10013,A013,教育部,北京,北京市,本科,,北京邮电大学,北京邮电大学
北京印刷学院,http://zhaosheng.bigc.edu.cn/,4111010015,10015,A015,北京市,北京,北京市,本科,,北京印刷学院,北京印刷学院
北京建筑大学,zsb.bucea.edu.cn,4111010016,10016,A016,北京市,北京,北京市,本科,,北京建筑大学,北京建筑大学
北京石油化工学院,https://gaokao.chsi.com.cn/zsgs/zhangcheng/listZszc--schId-16.dhtml,4111010017, ,A017,北京市,北京,北京市,本科,,北京石油化工学院,北京石油化工学院
北京电子科技学院,http://www.besti.edu.cn/,4111010018,10018,A018,中央办公厅,北京,北京市,本科,,北京电子科技学院,
中国农业大学,http://jwzs.cau.edu.cn,4111010019,10019,A019,教育部,北京,北京市,本科,,中国农业大学,中国农业大学
